,gameid,date,blue_team,blue_top,blue_jg,blue_mid,blue_adc,blue_supp,red_team,red_top,red_jg,red_mid,red_adc,red_supp,winner
305,ESPORTSTMNT04_2431278,2022-07-07 08:10:00,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Red
306,ESPORTSTMNT04_2411208,2022-07-07 09:03:00,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Blue
307,ESPORTSTMNT04_2411209,2022-07-07 10:06:00,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Red
308,ESPORTSTMNT04_2411213,2022-07-07 10:43:44,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Blue
309,ESPORTSTMNT04_2411237,2022-07-07 12:22:46,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Blue
310,ESPORTSTMNT04_2431316,2022-07-07 13:10:54,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Red
311,ESPORTSTMNT04_2411346,2022-07-08 07:03:36,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,T1,Zeus,Oner,Faker,Gumayusi,Keria,Blue
312,ESPORTSTMNT04_2411358,2022-07-08 08:39:26,T1,Zeus,Oner,Faker,Gumayusi,Keria,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Blue
313,ESPORTSTMNT04_2411364,2022-07-08 09:34:25,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
314,ESPORTSTMNT04_2411371,2022-07-08 10:30:09,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Blue
315,ESPORTSTMNT04_2411387,2022-07-08 12:07:17,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,Blue
316,ESPORTSTMNT04_2411388,2022-07-08 12:56:43,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Blue
317,ESPORTSTMNT04_2411452,2022-07-09 08:09:00,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Red
